Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
03/01/2022,9750,10050,11250,11450,12250,12100
04/01/2022,9750,10050,11250,11450,12250,12100
05/01/2022,9750,10050,11250,11450,12250,12100
06/01/2022,9750,10050,11250,11450,12250,12100
07/01/2022,9750,10050,11250,11450,12250,12100
10/01/2022,9750,10050,11250,11450,12250,12100
11/01/2022,9750,10050,11250,11450,12250,12100
12/01/2022,9750,10100,11250,11450,12250,12100
13/01/2022,9800,10150,11300,11450,12300,12150
14/01/2022,9800,10150,11300,11450,12300,12150
17/01/2022,9800,10150,11300,11450,12300,12150
18/01/2022,9800,10150,11300,11450,12300,12150
19/01/2022,9800,10150,11300,11450,12300,12150
20/01/2022,9800,10150,11300,11450,12300,12150
21/01/2022,9800,10150,11300,11450,12300,12150
24/01/2022,9800,10150,11300,11450,12300,12150
25/01/2022,9800,10150,11300,11450,12300,12150
26/01/2022,9800,10150,11300,11450,12300,12150
27/01/2022,9850,10150,11300,11450,12300,12200
28/01/2022,9850,10150,11300,11450,12300,12200
31/01/2022,9850,10200,11300,11450,12300,12200
02/02/2022,9850,10200,11300,11450,12300,12200
03/02/2022,9850,10200,11300,11450,12300,12250
04/02/2022,9850,10200,11300,11450,12300,12250
07/02/2022,9850,10200,11300,11450,12300,12250
08/02/2022,9850,10200,11300,11450,12300,12250
09/02/2022,9850,10200,11300,11450,12300,12250
10/02/2022,9850,10200,11300,11450,12300,12250
11/02/2022,9850,10200,11300,11450,12300,12250
14/02/2022,9850,10200,11300,11450,12300,12250
15/02/2022,9850,10200,11300,11450,12300,12250
16/02/2022,9850,10200,11300,11450,12300,12250
17/02/2022,9850,10200,11300,11450,12300,12250
18/02/2022,9850,10200,11300,11450,12300,12250
21/02/2022,9850,10200,11300,11450,12300,12250
22/02/2022,9850,10200,11300,11450,12300,12250
23/02/2022,9850,10200,11300,11450,12300,12250
24/02/2022,9850,10200,11300,11450,12300,12250
25/02/2022,9850,10200,11300,11450,12300,12250
01/03/2022,9850,10200,11300,11450,12300,12250
02/03/2022,9850,10200,11300,11500,12300,12250
04/03/2022,9850,10200,11300,11500,12300,12250
07/03/2022,9850,10200,11300,11500,12300,12250
08/03/2022,9800,10200,11300,11450,12300,12300
09/03/2022,9800,10200,11300,11450,12300,12300
10/03/2022,9800,10200,11300,11450,12300,12300
11/03/2022,9800,10200,11300,11450,12300,12300
14/03/2022,9800,10200,11300,11450,12300,12300
15/03/2022,9800,10200,11300,11450,12300,12300
16/03/2022,9800,10200,11300,11450,12300,12300
17/03/2022,9800,10200,11300,11500,12300,12300
18/03/2022,9800,10200,11300,11500,12300,12300
